Year,BAU,DDP,PLANDEACCION,TENDENCIAL
2010,37659.013123,37359.248698,41095.763397999996,37648.60523515
2011,38168.16308,37981.451055,41402.151505,36990.594295
2012,39204.98177,39123.81683,42974.41105,39126.19053315
2013,40544.211397,40320.385267,44695.137867,40614.418857
2014,41272.202967,41071.883497,45633.409397,41735.343397
2015,40267.704372,40094.984002,44656.687802,43394.522802
2016,38819.039110000005,38698.11431,42716.248009999996,44857.52346015
2017,36814.51728,36704.2953,39512.80273,46201.15695915
2018,38022.11272,37895.95437,40496.26541,46192.08688015
2019,36949.519368,36943.001093,39521.422263,46488.20531315
2020,34020.863688000005,34010.831203,36435.139993000004,41353.04173315
2021,35174.79623,35006.72676,37278.3093,46827.21741155
2022,36856.08684,36850.190239999996,39334.98624,47898.64610155
2023,36602.3625,36509.50201,38959.67909,49762.3595
2024,37122.51883,37081.597856,39542.077546,50413.303186
2025,37544.12617,37465.286146,39930.081033,52470.719686000004
2026,38041.6698,37947.074677,40439.994736,53729.757537
2027,38569.62341,38379.074137,40892.026939,55446.569937
2028,39112.56043,38602.128598,41056.956223,57800.556988
2029,39514.26003,38833.532987,41299.490053,59466.691425
2030,39807.10567,38941.437022,41418.295063,61453.187574999996
2031,40172.14332,38897.89464,41308.059243,64163.60026
2032,40576.53203,38218.53861,40591.582683,64551.88351
2033,40951.15535,37991.43676,40394.211483,66079.7332
2034,41349.82203,37829.61912,40233.209083,66510.62315
2035,41535.85312,37694.2648,40068.277383,67126.30040000001
